ItemNumber,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Flip1,Flip2,Order1_agent,Order2_agent,Order1_patient,Order2_patient
50,Melissa,Oval,oval,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Lily Triangle.,Melissa Oval bounced Lily Triangle.,The oval is bouncing the triangle.,The oval bounced the triangle.,Lily Triangle is being bounced by Melissa Oval.,Lily Triangle was bounced by Melissa Oval.,The triangle is being bounced by the oval.,The triangle was bounced by the oval.,0,1,33,7,51,1
23,Lily,Triangle,triangle,Zach,Star,star,roll,rolled,rolled,roll,Lily Triangle is rolling Zach Star.,Lily Triangle rolled Zach Star.,The triangle is rolling the star.,The triangle rolled the star.,Zach Star is being rolled by Lily Triangle.,Zach Star was rolled by Lily Triangle.,The star is being rolled by the triangle.,The star was rolled by the triangle.,0,1,38,3,52,2
21,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.,Melissa Oval is being bounced by Lily Triangle.,Melissa Oval was bounced by Lily Triangle.,The oval is being bounced by the triangle.,The oval was bounced by the triangle.,1,0,48,21,10,3
29,Lily,Triangle,triangle,Zach,Star,star,balanc,balanced,balanced,balance,Lily Triangle is balancing Zach Star.,Lily Triangle balanced Zach Star.,The triangle is balancing the star.,The triangle balanced the star.,Zach Star is being balanced by Lily Triangle.,Zach Star was balanced by Lily Triangle.,The star is being balanced by the triangle.,The star was balanced by the triangle.,0,1,45,56,21,4
12,Kyle,Square,square,Melissa,Oval,oval,shak,shook,shaken,shake,Kyle Square is shaking Melissa Oval.,Kyle Square shook Melissa Oval.,The square is shaking the oval.,The square shook the oval.,Melissa Oval is being shaken by Kyle Square.,Melissa Oval was shaken by Kyle Square.,The oval is being shaken by the square.,The oval was shaken by the square.,0,1,16,44,53,5
43,Zach,Star,star,Kyle,Square,square,balanc,balanced,balanced,balance,Zach Star is balancing Kyle Square.,Zach Star balanced Kyle Square.,The star is balancing the square.,The star balanced the square.,Kyle Square is being balanced by Zach Star.,Kyle Square was balanced by Zach Star.,The square is being balanced by the star.,The square was balanced by the star.,1,0,5,25,24,6
17,Lily,Triangle,triangle,Zach,Star,star,stopp,stopped,stopped,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.,Zach Star is being stopped by Lily Triangle.,Zach Star was stopped by Lily Triangle.,The star is being stopped by the triangle.,The star was stopped by the triangle.,0,1,36,12,17,7
10,Kyle,Square,square,Lily,Triangle,triangle,shak,shook,shaken,shake,Kyle Square is shaking Lily Triangle.,Kyle Square shook Lily Triangle.,The square is shaking the triangle.,The square shook the triangle.,Lily Triangle is being shaken by Kyle Square.,Lily Triangle was shaken by Kyle Square.,The triangle is being shaken by the square.,The triangle was shaken by the square.,1,0,53,11,28,8
14,Kyle,Square,square,Zach,Star,star,balanc,balanced,balanced,balance,Kyle Square is balancing Zach Star.,Kyle Square balanced Zach Star.,The square is balancing the star.,The square balanced the star.,Zach Star is being balanced by Kyle Square.,Zach Star was balanced by Kyle Square.,The star is being balanced by the square.,The star was balanced by the square.,1,0,41,28,57,9
33,Zach,Star,star,Melissa,Oval,oval,stopp,stopped,stopped,stop,Zach Star is stopping Melissa Oval.,Zach Star stopped Melissa Oval.,The star is stopping the oval.,The star stopped the oval.,Melissa Oval is being stopped by Zach Star.,Melissa Oval was stopped by Zach Star.,The oval is being stopped by the star.,The oval was stopped by the star.,1,0,42,47,14,10
49,Melissa,Oval,oval,Kyle,Square,square,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Kyle Square.,Melissa Oval bounced Kyle Square.,The oval is bouncing the square.,The oval bounced the square.,Kyle Square is being bounced by Melissa Oval.,Kyle Square was bounced by Melissa Oval.,The square is being bounced by the oval.,The square was bounced by the oval.,1,0,27,8,42,11
39,Zach,Star,star,Melissa,Oval,oval,roll,rolled,rolled,roll,Zach Star is rolling Melissa Oval.,Zach Star rolled Melissa Oval.,The star is rolling the oval.,The star rolled the oval.,Melissa Oval is being rolled by Zach Star.,Melissa Oval was rolled by Zach Star.,The oval is being rolled by the star.,The oval was rolled by the star.,0,1,52,6,18,12
26,Lily,Triangle,triangle,Zach,Star,star,shak,shook,shaken,shake,Lily Triangle is shaking Zach Star.,Lily Triangle shook Zach Star.,The triangle is shaking the star.,The triangle shook the star.,Zach Star is being shaken by Lily Triangle.,Zach Star was shaken by Lily Triangle.,The star is being shaken by the triangle.,The star was shaken by the triangle.,1,0,34,31,25,13
19,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.,Kyle Square is being bounced by Lily Triangle.,Kyle Square was bounced by Lily Triangle.,The square is being bounced by the triangle.,The square was bounced by the triangle.,0,1,31,20,4,14
44,Zach,Star,star,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Zach Star is balancing Lily Triangle.,Zach Star balanced Lily Triangle.,The star is balancing the triangle.,The star balanced the triangle.,Lily Triangle is being balanced by Zach Star.,Lily Triangle was balanced by Zach Star.,The triangle is being balanced by the star.,The triangle was balanced by the star.,0,1,43,18,9,15
6,Kyle,Square,square,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Kyle Square is bouncing Melissa Oval.,Kyle Square bounced Melissa Oval.,The square is bouncing the oval.,The square bounced the oval.,Melissa Oval is being bounced by Kyle Square.,Melissa Oval was bounced by Kyle Square.,The oval is being bounced by the square.,The oval was bounced by the square.,0,1,35,2,29,16
11,Kyle,Square,square,Zach,Star,star,shak,shook,shaken,shake,Kyle Square is shaking Zach Star.,Kyle Square shook Zach Star.,The square is shaking the star.,The square shook the star.,Zach Star is being shaken by Kyle Square.,Zach Star was shaken by Kyle Square.,The star is being shaken by the square.,The star was shaken by the square.,1,0,55,36,54,17
57,Melissa,Oval,oval,Zach,Star,star,shak,shook,shaken,shake,Melissa Oval is shaking Zach Star.,Melissa Oval shook Zach Star.,The oval is shaking the star.,The oval shook the star.,Zach Star is being shaken by Melissa Oval.,Zach Star was shaken by Melissa Oval.,The star is being shaken by the oval.,The star was shaken by the oval.,0,1,60,23,40,18
2,Kyle,Square,square,Zach,Star,star,stopp,stopped,stopped,stop,Kyle Square is stopping Zach Star.,Kyle Square stopped Zach Star.,The square is stopping the star.,The square stopped the star.,Zach Star is being stopped by Kyle Square.,Zach Star was stopped by Kyle Square.,The star is being stopped by the square.,The star was stopped by the square.,0,1,8,43,39,19
35,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,1,0,15,41,13,20
52,Melissa,Oval,oval,Kyle,Square,square,roll,rolled,rolled,roll,Melissa Oval is rolling Kyle Square.,Melissa Oval rolled Kyle Square.,The oval is rolling the square.,The oval rolled the square.,Kyle Square is being rolled by Melissa Oval.,Kyle Square was rolled by Melissa Oval.,The square is being rolled by the oval.,The square was rolled by the oval.,1,0,1,52,33,21
58,Melissa,Oval,oval,Kyle,Square,square,balanc,balanced,balanced,balance,Melissa Oval is balancing Kyle Square.,Melissa Oval balanced Kyle Square.,The oval is balancing the square.,The oval balanced the square.,Kyle Square is being balanced by Melissa Oval.,Kyle Square was balanced by Melissa Oval.,The square is being balanced by the oval.,The square was balanced by the oval.,1,0,10,15,46,22
41,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,0,1,37,34,47,23
5,Kyle,Square,square,Zach,Star,star,bounc,bounced,bounced,bounce,Kyle Square is bouncing Zach Star.,Kyle Square bounced Zach Star.,The square is bouncing the star.,The square bounced the star.,Zach Star is being bounced by Kyle Square.,Zach Star was bounced by Kyle Square.,The star is being bounced by the square.,The star was bounced by the square.,0,1,58,5,23,24
54,Melissa,Oval,oval,Zach,Star,star,roll,rolled,rolled,roll,Melissa Oval is rolling Zach Star.,Melissa Oval rolled Zach Star.,The oval is rolling the star.,The oval rolled the star.,Zach Star is being rolled by Melissa Oval.,Zach Star was rolled by Melissa Oval.,The star is being rolled by the oval.,The star was rolled by the oval.,1,0,7,58,19,25
51,Melissa,Oval,oval,Zach,Star,star,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Zach Star.,Melissa Oval bounced Zach Star.,The oval is bouncing the star.,The oval bounced the star.,Zach Star is being bounced by Melissa Oval.,Zach Star was bounced by Melissa Oval.,The star is being bounced by the oval.,The star was bounced by the oval.,0,1,13,50,38,26
55,Melissa,Oval,oval,Kyle,Square,square,shak,shook,shaken,shake,Melissa Oval is shaking Kyle Square.,Melissa Oval shook Kyle Square.,The oval is shaking the square.,The oval shook the square.,Kyle Square is being shaken by Melissa Oval.,Kyle Square was shaken by Melissa Oval.,The square is being shaken by the oval.,The square was shaken by the oval.,0,1,57,1,1,27
22,Lily,Triangle,triangle,Kyle,Square,square,roll,rolled,rolled,roll,Lily Triangle is rolling Kyle Square.,Lily Triangle rolled Kyle Square.,The triangle is rolling the square.,The triangle rolled the square.,Kyle Square is being rolled by Lily Triangle.,Kyle Square was rolled by Lily Triangle.,The square is being rolled by the triangle.,The square was rolled by the triangle.,0,1,21,57,55,28
27,Lily,Triangle,triangle,Melissa,Oval,oval,shak,shook,shaken,shake,Lily Triangle is shaking Melissa Oval.,Lily Triangle shook Melissa Oval.,The triangle is shaking the oval.,The triangle shook the oval.,Melissa Oval is being shaken by Lily Triangle.,Melissa Oval was shaken by Lily Triangle.,The oval is being shaken by the triangle.,The oval was shaken by the triangle.,1,0,3,54,12,29
28,Lily,Triangle,triangle,Kyle,Square,square,balanc,balanced,balanced,balance,Lily Triangle is balancing Kyle Square.,Lily Triangle balanced Kyle Square.,The triangle is balancing the square.,The triangle balanced the square.,Kyle Square is being balanced by Lily Triangle.,Kyle Square was balanced by Lily Triangle.,The square is being balanced by the triangle.,The square was balanced by the triangle.,0,1,39,35,49,30
1,Kyle,Square,square,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Kyle Square is stopping Lily Triangle.,Kyle Square stopped Lily Triangle.,The square is stopping the triangle.,The square stopped the triangle.,Lily Triangle is being stopped by Kyle Square.,Lily Triangle was stopped by Kyle Square.,The triangle is being stopped by the square.,The triangle was stopped by the square.,0,1,47,24,37,31
7,Kyle,Square,square,Lily,Triangle,triangle,roll,rolled,rolled,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.,Lily Triangle is being rolled by Kyle Square.,Lily Triangle was rolled by Kyle Square.,The triangle is being rolled by the square.,The triangle was rolled by the square.,0,1,29,30,8,32
4,Kyle,Square,square,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Kyle Square is bouncing Lily Triangle.,Kyle Square bounced Lily Triangle.,The square is bouncing the triangle.,The square bounced the triangle.,Lily Triangle is being bounced by Kyle Square.,Lily Triangle was bounced by Kyle Square.,The triangle is being bounced by the square.,The triangle was bounced by the square.,0,1,14,46,22,33
15,Kyle,Square,square,Melissa,Oval,oval,balanc,balanced,balanced,balance,Kyle Square is balancing Melissa Oval.,Kyle Square balanced Melissa Oval.,The square is balancing the oval.,The square balanced the oval.,Melissa Oval is being balanced by Kyle Square.,Melissa Oval was balanced by Kyle Square.,The oval is being balanced by the square.,The oval was balanced by the square.,1,0,54,38,27,34
60,Melissa,Oval,oval,Zach,Star,star,balanc,balanced,balanced,balance,Melissa Oval is balancing Zach Star.,Melissa Oval balanced Zach Star.,The oval is balancing the star.,The oval balanced the star.,Zach Star is being balanced by Melissa Oval.,Zach Star was balanced by Melissa Oval.,The star is being balanced by the oval.,The star was balanced by the oval.,1,0,22,59,36,35
31,Zach,Star,star,Kyle,Square,square,stopp,stopped,stopped,stop,Zach Star is stopping Kyle Square.,Zach Star stopped Kyle Square.,The star is stopping the square.,The star stopped the square.,Kyle Square is being stopped by Zach Star.,Kyle Square was stopped by Zach Star.,The square is being stopped by the star.,The square was stopped by the star.,1,0,12,9,30,36
48,Melissa,Oval,oval,Zach,Star,star,stopp,stopped,stopped,stop,Melissa Oval is stopping Zach Star.,Melissa Oval stopped Zach Star.,The oval is stopping the star.,The oval stopped the star.,Zach Star is being stopped by Melissa Oval.,Zach Star was stopped by Melissa Oval.,The star is being stopped by the oval.,The star was stopped by the oval.,1,0,44,26,6,37
53,Melissa,Oval,oval,Lily,Triangle,triangle,roll,rolled,rolled,roll,Melissa Oval is rolling Lily Triangle.,Melissa Oval rolled Lily Triangle.,The oval is rolling the triangle.,The oval rolled the triangle.,Lily Triangle is being rolled by Melissa Oval.,Lily Triangle was rolled by Melissa Oval.,The triangle is being rolled by the oval.,The triangle was rolled by the oval.,0,1,46,42,16,38
24,Lily,Triangle,triangle,Melissa,Oval,oval,roll,rolled,rolled,roll,Lily Triangle is rolling Melissa Oval.,Lily Triangle rolled Melissa Oval.,The triangle is rolling the oval.,The triangle rolled the oval.,Melissa Oval is being rolled by Lily Triangle.,Melissa Oval was rolled by Lily Triangle.,The oval is being rolled by the triangle.,The oval was rolled by the triangle.,0,1,17,39,7,39
25,Lily,Triangle,triangle,Kyle,Square,square,shak,shook,shaken,shake,Lily Triangle is shaking Kyle Square.,Lily Triangle shook Kyle Square.,The triangle is shaking the square.,The triangle shook the square.,Kyle Square is being shaken by Lily Triangle.,Kyle Square was shaken by Lily Triangle.,The square is being shaken by the triangle.,The square was shaken by the triangle.,1,0,25,60,59,40
13,Kyle,Square,square,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Kyle Square is balancing Lily Triangle.,Kyle Square balanced Lily Triangle.,The square is balancing the triangle.,The square balanced the triangle.,Lily Triangle is being balanced by Kyle Square.,Lily Triangle was balanced by Kyle Square.,The triangle is being balanced by the square.,The triangle was balanced by the square.,0,1,51,51,3,41
30,Lily,Triangle,triangle,Melissa,Oval,oval,balanc,balanced,balanced,balance,Lily Triangle is balancing Melissa Oval.,Lily Triangle balanced Melissa Oval.,The triangle is balancing the oval.,The triangle balanced the oval.,Melissa Oval is being balanced by Lily Triangle.,Melissa Oval was balanced by Lily Triangle.,The oval is being balanced by the triangle.,The oval was balanced by the triangle.,1,0,2,16,5,42
32,Zach,Star,star,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Zach Star is stopping Lily Triangle.,Zach Star stopped Lily Triangle.,The star is stopping the triangle.,The star stopped the triangle.,Lily Triangle is being stopped by Zach Star.,Lily Triangle was stopped by Zach Star.,The triangle is being stopped by the star.,The triangle was stopped by the star.,1,0,50,17,11,43
20,Lily,Triangle,triangle,Zach,Star,star,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Zach Star.,Lily Triangle bounced Zach Star.,The triangle is bouncing the star.,The triangle bounced the star.,Zach Star is being bounced by Lily Triangle.,Zach Star was bounced by Lily Triangle.,The star is being bounced by the triangle.,The star was bounced by the triangle.,0,1,20,27,2,44
42,Zach,Star,star,Melissa,Oval,oval,shak,shook,shaken,shake,Zach Star is shaking Melissa Oval.,Zach Star shook Melissa Oval.,The star is shaking the oval.,The star shook the oval.,Melissa Oval is being shaken by Zach Star.,Melissa Oval was shaken by Zach Star.,The oval is being shaken by the star.,The oval was shaken by the star.,0,1,59,13,34,45
45,Zach,Star,star,Melissa,Oval,oval,balanc,balanced,balanced,balance,Zach Star is balancing Melissa Oval.,Zach Star balanced Melissa Oval.,The star is balancing the oval.,The star balanced the oval.,Melissa Oval is being balanced by Zach Star.,Melissa Oval was balanced by Zach Star.,The oval is being balanced by the star.,The oval was balanced by the star.,1,0,28,22,41,46
38,Zach,Star,star,Lily,Triangle,triangle,roll,rolled,rolled,roll,Zach Star is rolling Lily Triangle.,Zach Star rolled Lily Triangle.,The star is rolling the triangle.,The star rolled the triangle.,Lily Triangle is being rolled by Zach Star.,Lily Triangle was rolled by Zach Star.,The triangle is being rolled by the star.,The triangle was rolled by the star.,0,1,23,40,31,47
36,Zach,Star,star,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Zach Star is bouncing Melissa Oval.,Zach Star bounced Melissa Oval.,The star is bouncing the oval.,The star bounced the oval.,Melissa Oval is being bounced by Zach Star.,Melissa Oval was bounced by Zach Star.,The oval is being bounced by the star.,The oval was bounced by the star.,0,1,49,14,35,48
9,Kyle,Square,square,Melissa,Oval,oval,roll,rolled,rolled,roll,Kyle Square is rolling Melissa Oval.,Kyle Square rolled Melissa Oval.,The square is rolling the oval.,The square rolled the oval.,Melissa Oval is being rolled by Kyle Square.,Melissa Oval was rolled by Kyle Square.,The oval is being rolled by the square.,The oval was rolled by the square.,0,1,9,4,60,49
16,Lily,Triangle,triangle,Kyle,Square,square,stopp,stopped,stopped,stop,Lily Triangle is stopping Kyle Square.,Lily Triangle stopped Kyle Square.,The triangle is stopping the square.,The triangle stopped the square.,Kyle Square is being stopped by Lily Triangle.,Kyle Square was stopped by Lily Triangle.,The square is being stopped by the triangle.,The square was stopped by the triangle.,1,0,4,37,43,50
46,Melissa,Oval,oval,Kyle,Square,square,stopp,stopped,stopped,stop,Melissa Oval is stopping Kyle Square.,Melissa Oval stopped Kyle Square.,The oval is stopping the square.,The oval stopped the square.,Kyle Square is being stopped by Melissa Oval.,Kyle Square was stopped by Melissa Oval.,The square is being stopped by the oval.,The square was stopped by the oval.,1,0,32,32,32,51
47,Melissa,Oval,oval,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Melissa Oval is stopping Lily Triangle.,Melissa Oval stopped Lily Triangle.,The oval is stopping the triangle.,The oval stopped the triangle.,Lily Triangle is being stopped by Melissa Oval.,Lily Triangle was stopped by Melissa Oval.,The triangle is being stopped by the oval.,The triangle was stopped by the oval.,1,0,40,53,44,52
59,Melissa,Oval,oval,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Melissa Oval is balancing Lily Triangle.,Melissa Oval balanced Lily Triangle.,The oval is balancing the triangle.,The oval balanced the triangle.,Lily Triangle is being balanced by Melissa Oval.,Lily Triangle was balanced by Melissa Oval.,The triangle is being balanced by the oval.,The triangle was balanced by the oval.,1,0,11,33,56,53
34,Zach,Star,star,Kyle,Square,square,bounc,bounced,bounced,bounce,Zach Star is bouncing Kyle Square.,Zach Star bounced Kyle Square.,The star is bouncing the square.,The star bounced the square.,Kyle Square is being bounced by Zach Star.,Kyle Square was bounced by Zach Star.,The square is being bounced by the star.,The square was bounced by the star.,1,0,19,49,45,54
37,Zach,Star,star,Kyle,Square,square,roll,rolled,rolled,roll,Zach Star is rolling Kyle Square.,Zach Star rolled Kyle Square.,The star is rolling the square.,The star rolled the square.,Kyle Square is being rolled by Zach Star.,Kyle Square was rolled by Zach Star.,The square is being rolled by the star.,The square was rolled by the star.,1,0,24,48,48,55
8,Kyle,Square,square,Zach,Star,star,roll,rolled,rolled,roll,Kyle Square is rolling Zach Star.,Kyle Square rolled Zach Star.,The square is rolling the star.,The square rolled the star.,Zach Star is being rolled by Kyle Square.,Zach Star was rolled by Kyle Square.,The star is being rolled by the square.,The star was rolled by the square.,1,0,6,19,26,56
18,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stopped,stopped,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.,Melissa Oval is being stopped by Lily Triangle.,Melissa Oval was stopped by Lily Triangle.,The oval is being stopped by the triangle.,The oval was stopped by the triangle.,1,0,26,29,20,57
56,Melissa,Oval,oval,Lily,Triangle,triangle,shak,shook,shaken,shake,Melissa Oval is shaking Lily Triangle.,Melissa Oval shook Lily Triangle.,The oval is shaking the triangle.,The oval shook the triangle.,Lily Triangle is being shaken by Melissa Oval.,Lily Triangle was shaken by Melissa Oval.,The triangle is being shaken by the oval.,The triangle was shaken by the oval.,0,1,56,45,50,58
3,Kyle,Square,square,Melissa,Oval,oval,stopp,stopped,stopped,stop,Kyle Square is stopping Melissa Oval.,Kyle Square stopped Melissa Oval.,The square is stopping the oval.,The square stopped the oval.,Melissa Oval is being stopped by Kyle Square.,Melissa Oval was stopped by Kyle Square.,The oval is being stopped by the square.,The oval was stopped by the square.,0,1,18,10,58,59
40,Zach,Star,star,Kyle,Square,square,shak,shook,shaken,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.,Kyle Square is being shaken by Zach Star.,Kyle Square was shaken by Zach Star.,The square is being shaken by the star.,The square was shaken by the star.,1,0,30,55,15,60