COND_markingSameDiff,ItemNum_withinconstr,Item,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,Verb,ProgressiveSentence,PastSentence,GenericProgressiveSentence,GenericPastSentence
ActPas_SEM_DIFF,4,4,Kyle,Square,square,Lily,Triangle,triangle,stopp,stop,Kyle Square is stopping Lily Triangle.,Kyle Square stopped Lily Triangle.,The square is stopping the triangle.,The square stopped the triangle.
ActPas_SEM_DIFF,8,8,Kyle,Square,square,Zach,Star,star,stopp,stop,Kyle Square is stopping Zach Star.,Kyle Square stopped Zach Star.,The square is stopping the star.,The square stopped the star.
ActPas_SEM_DIFF,12,12,Kyle,Square,square,Melissa,Oval,oval,stopp,stop,Kyle Square is stopping Melissa Oval.,Kyle Square stopped Melissa Oval.,The square is stopping the oval.,The square stopped the oval.
ActPas_SEM_DIFF,16,16,Kyle,Square,square,Lily,Triangle,triangle,bounc,bounce,Kyle Square is bouncing Lily Triangle.,Kyle Square bounced Lily Triangle.,The square is bouncing the triangle.,The square bounced the triangle.
ActPas_SEM_DIFF,20,20,Kyle,Square,square,Zach,Star,star,bounc,bounce,Kyle Square is bouncing Zach Star.,Kyle Square bounced Zach Star.,The square is bouncing the star.,The square bounced the star.
ActPas_SEM_DIFF,24,24,Kyle,Square,square,Melissa,Oval,oval,bounc,bounce,Kyle Square is bouncing Melissa Oval.,Kyle Square bounced Melissa Oval.,The square is bouncing the oval.,The square bounced the oval.
ActPas_SEM_DIFF,28,28,Kyle,Square,square,Lily,Triangle,triangle,roll,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.
ActPas_SEM_DIFF,32,32,Kyle,Square,square,Zach,Star,star,roll,roll,Kyle Square is rolling Zach Star.,Kyle Square rolled Zach Star.,The square is rolling the star.,The square rolled the star.
ActPas_SEM_DIFF,36,36,Kyle,Square,square,Melissa,Oval,oval,roll,roll,Kyle Square is rolling Melissa Oval.,Kyle Square rolled Melissa Oval.,The square is rolling the oval.,The square rolled the oval.
ActPas_SEM_DIFF,40,40,Kyle,Square,square,Lily,Triangle,triangle,shak,shake,Kyle Square is shaking Lily Triangle.,Kyle Square shook Lily Triangle.,The square is shaking the triangle.,The square shook the triangle.
ActPas_SEM_DIFF,1,1,Kyle,Square,square,Zach,Star,star,shak,shake,Kyle Square is shaking Zach Star.,Kyle Square shook Zach Star.,The square is shaking the star.,The square shook the star.
ActPas_SEM_DIFF,5,5,Kyle,Square,square,Melissa,Oval,oval,shak,shake,Kyle Square is shaking Melissa Oval.,Kyle Square shook Melissa Oval.,The square is shaking the oval.,The square shook the oval.
ActPas_SEM_DIFF,9,9,Kyle,Square,square,Lily,Triangle,triangle,balanc,balance,Kyle Square is balancing Lily Triangle.,Kyle Square balanced Lily Triangle.,The square is balancing the triangle.,The square balanced the triangle.
ActPas_SEM_DIFF,13,13,Kyle,Square,square,Zach,Star,star,balanc,balance,Kyle Square is balancing Zach Star.,Kyle Square balanced Zach Star.,The square is balancing the star.,The square balanced the star.
ActPas_SEM_DIFF,17,17,Kyle,Square,square,Melissa,Oval,oval,balanc,balance,Kyle Square is balancing Melissa Oval.,Kyle Square balanced Melissa Oval.,The square is balancing the oval.,The square balanced the oval.
ActPas_SEM_DIFF,21,21,Lily,Triangle,triangle,Kyle,Square,square,stopp,stop,Lily Triangle is stopping Kyle Square.,Lily Triangle stopped Kyle Square.,The triangle is stopping the square.,The triangle stopped the square.
ActPas_SEM_DIFF,25,25,Lily,Triangle,triangle,Zach,Star,star,stopp,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.
ActPas_SEM_DIFF,29,29,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.
ActPas_SEM_DIFF,33,33,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.
ActPas_SEM_DIFF,37,37,Lily,Triangle,triangle,Zach,Star,star,bounc,bounce,Lily Triangle is bouncing Zach Star.,Lily Triangle bounced Zach Star.,The triangle is bouncing the star.,The triangle bounced the star.
ActPas_SEM_DIFF,2,2,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.
ActPas_SEM_DIFF,6,6,Lily,Triangle,triangle,Kyle,Square,square,roll,roll,Lily Triangle is rolling Kyle Square.,Lily Triangle rolled Kyle Square.,The triangle is rolling the square.,The triangle rolled the square.
ActPas_SEM_DIFF,10,10,Lily,Triangle,triangle,Zach,Star,star,roll,roll,Lily Triangle is rolling Zach Star.,Lily Triangle rolled Zach Star.,The triangle is rolling the star.,The triangle rolled the star.
ActPas_SEM_DIFF,14,14,Lily,Triangle,triangle,Melissa,Oval,oval,roll,roll,Lily Triangle is rolling Melissa Oval.,Lily Triangle rolled Melissa Oval.,The triangle is rolling the oval.,The triangle rolled the oval.
ActPas_SEM_DIFF,18,18,Lily,Triangle,triangle,Kyle,Square,square,shak,shake,Lily Triangle is shaking Kyle Square.,Lily Triangle shook Kyle Square.,The triangle is shaking the square.,The triangle shook the square.
ActPas_SEM_DIFF,22,22,Lily,Triangle,triangle,Zach,Star,star,shak,shake,Lily Triangle is shaking Zach Star.,Lily Triangle shook Zach Star.,The triangle is shaking the star.,The triangle shook the star.
ActPas_SEM_DIFF,26,26,Lily,Triangle,triangle,Melissa,Oval,oval,shak,shake,Lily Triangle is shaking Melissa Oval.,Lily Triangle shook Melissa Oval.,The triangle is shaking the oval.,The triangle shook the oval.
ActPas_SEM_DIFF,30,30,Lily,Triangle,triangle,Kyle,Square,square,balanc,balance,Lily Triangle is balancing Kyle Square.,Lily Triangle balanced Kyle Square.,The triangle is balancing the square.,The triangle balanced the square.
ActPas_SEM_DIFF,34,34,Lily,Triangle,triangle,Zach,Star,star,balanc,balance,Lily Triangle is balancing Zach Star.,Lily Triangle balanced Zach Star.,The triangle is balancing the star.,The triangle balanced the star.
ActPas_SEM_DIFF,38,38,Lily,Triangle,triangle,Melissa,Oval,oval,balanc,balance,Lily Triangle is balancing Melissa Oval.,Lily Triangle balanced Melissa Oval.,The triangle is balancing the oval.,The triangle balanced the oval.
ActPas_SEM_DIFF,3,3,Zach,Star,star,Kyle,Square,square,stopp,stop,Zach Star is stopping Kyle Square.,Zach Star stopped Kyle Square.,The star is stopping the square.,The star stopped the square.
ActPas_SEM_DIFF,7,7,Zach,Star,star,Lily,Triangle,triangle,stopp,stop,Zach Star is stopping Lily Triangle.,Zach Star stopped Lily Triangle.,The star is stopping the triangle.,The star stopped the triangle.
ActPas_SEM_DIFF,11,11,Zach,Star,star,Melissa,Oval,oval,stopp,stop,Zach Star is stopping Melissa Oval.,Zach Star stopped Melissa Oval.,The star is stopping the oval.,The star stopped the oval.
ActPas_SEM_DIFF,15,15,Zach,Star,star,Kyle,Square,square,bounc,bounce,Zach Star is bouncing Kyle Square.,Zach Star bounced Kyle Square.,The star is bouncing the square.,The star bounced the square.
ActPas_SEM_DIFF,19,19,Zach,Star,star,Lily,Triangle,triangle,bounc,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.
ActPas_SEM_DIFF,23,23,Zach,Star,star,Melissa,Oval,oval,bounc,bounce,Zach Star is bouncing Melissa Oval.,Zach Star bounced Melissa Oval.,The star is bouncing the oval.,The star bounced the oval.
ActPas_SEM_DIFF,27,27,Zach,Star,star,Kyle,Square,square,roll,roll,Zach Star is rolling Kyle Square.,Zach Star rolled Kyle Square.,The star is rolling the square.,The star rolled the square.
ActPas_SEM_DIFF,31,31,Zach,Star,star,Lily,Triangle,triangle,roll,roll,Zach Star is rolling Lily Triangle.,Zach Star rolled Lily Triangle.,The star is rolling the triangle.,The star rolled the triangle.
ActPas_SEM_DIFF,35,35,Zach,Star,star,Melissa,Oval,oval,roll,roll,Zach Star is rolling Melissa Oval.,Zach Star rolled Melissa Oval.,The star is rolling the oval.,The star rolled the oval.
ActPas_SEM_DIFF,39,39,Zach,Star,star,Kyle,Square,square,shak,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.
ActPas_SEM_DIFF,4,44,Zach,Star,star,Lily,Triangle,triangle,shak,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.
ActPas_SEM_DIFF,8,48,Zach,Star,star,Melissa,Oval,oval,shak,shake,Zach Star is shaking Melissa Oval.,Zach Star shook Melissa Oval.,The star is shaking the oval.,The star shook the oval.
ActPas_SEM_DIFF,12,52,Zach,Star,star,Kyle,Square,square,balanc,balance,Zach Star is balancing Kyle Square.,Zach Star balanced Kyle Square.,The star is balancing the square.,The star balanced the square.
ActPas_SEM_DIFF,16,56,Zach,Star,star,Lily,Triangle,triangle,balanc,balance,Zach Star is balancing Lily Triangle.,Zach Star balanced Lily Triangle.,The star is balancing the triangle.,The star balanced the triangle.
ActPas_SEM_DIFF,20,60,Zach,Star,star,Melissa,Oval,oval,balanc,balance,Zach Star is balancing Melissa Oval.,Zach Star balanced Melissa Oval.,The star is balancing the oval.,The star balanced the oval.
ActPas_SEM_DIFF,24,64,Melissa,Oval,oval,Kyle,Square,square,stopp,stop,Melissa Oval is stopping Kyle Square.,Melissa Oval stopped Kyle Square.,The oval is stopping the square.,The oval stopped the square.
ActPas_SEM_DIFF,28,68,Melissa,Oval,oval,Lily,Triangle,triangle,stopp,stop,Melissa Oval is stopping Lily Triangle.,Melissa Oval stopped Lily Triangle.,The oval is stopping the triangle.,The oval stopped the triangle.
ActPas_SEM_DIFF,32,72,Melissa,Oval,oval,Zach,Star,star,stopp,stop,Melissa Oval is stopping Zach Star.,Melissa Oval stopped Zach Star.,The oval is stopping the star.,The oval stopped the star.
ActPas_SEM_DIFF,36,76,Melissa,Oval,oval,Kyle,Square,square,bounc,bounce,Melissa Oval is bouncing Kyle Square.,Melissa Oval bounced Kyle Square.,The oval is bouncing the square.,The oval bounced the square.
ActPas_SEM_DIFF,40,80,Melissa,Oval,oval,Lily,Triangle,triangle,bounc,bounce,Melissa Oval is bouncing Lily Triangle.,Melissa Oval bounced Lily Triangle.,The oval is bouncing the triangle.,The oval bounced the triangle.
ActPas_SEM_DIFF,1,41,Melissa,Oval,oval,Zach,Star,star,bounc,bounce,Melissa Oval is bouncing Zach Star.,Melissa Oval bounced Zach Star.,The oval is bouncing the star.,The oval bounced the star.
ActPas_SEM_DIFF,5,45,Melissa,Oval,oval,Kyle,Square,square,roll,roll,Melissa Oval is rolling Kyle Square.,Melissa Oval rolled Kyle Square.,The oval is rolling the square.,The oval rolled the square.
ActPas_SEM_DIFF,9,49,Melissa,Oval,oval,Lily,Triangle,triangle,roll,roll,Melissa Oval is rolling Lily Triangle.,Melissa Oval rolled Lily Triangle.,The oval is rolling the triangle.,The oval rolled the triangle.
ActPas_SEM_DIFF,13,53,Melissa,Oval,oval,Zach,Star,star,roll,roll,Melissa Oval is rolling Zach Star.,Melissa Oval rolled Zach Star.,The oval is rolling the star.,The oval rolled the star.
ActPas_SEM_DIFF,17,57,Melissa,Oval,oval,Kyle,Square,square,shak,shake,Melissa Oval is shaking Kyle Square.,Melissa Oval shook Kyle Square.,The oval is shaking the square.,The oval shook the square.
ActPas_SEM_DIFF,21,61,Melissa,Oval,oval,Lily,Triangle,triangle,shak,shake,Melissa Oval is shaking Lily Triangle.,Melissa Oval shook Lily Triangle.,The oval is shaking the triangle.,The oval shook the triangle.
ActPas_SEM_DIFF,25,65,Melissa,Oval,oval,Zach,Star,star,shak,shake,Melissa Oval is shaking Zach Star.,Melissa Oval shook Zach Star.,The oval is shaking the star.,The oval shook the star.
ActPas_SEM_DIFF,29,69,Melissa,Oval,oval,Kyle,Square,square,balanc,balance,Melissa Oval is balancing Kyle Square.,Melissa Oval balanced Kyle Square.,The oval is balancing the square.,The oval balanced the square.
ActPas_SEM_DIFF,33,73,Melissa,Oval,oval,Lily,Triangle,triangle,balanc,balance,Melissa Oval is balancing Lily Triangle.,Melissa Oval balanced Lily Triangle.,The oval is balancing the triangle.,The oval balanced the triangle.
ActPas_SEM_DIFF,37,77,Melissa,Oval,oval,Zach,Star,star,balanc,balance,Melissa Oval is balancing Zach Star.,Melissa Oval balanced Zach Star.,The oval is balancing the star.,The oval balanced the star.