SubjID,List,Run,Order,TrialNum,ItemNum,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
debug,1,1,1,1,60,DOPP_SEM_DIFF,DblObj,1,occ-name,occup_switch,0,0,0,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,0.600000000005821,NA,NA,NA
debug,1,1,1,2,70,DOPP_SYNT_DIFF,PP,1,occ-name,NA,0.800000000017462,0,0,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,1.40000000002328,NA,NA,NA
debug,1,1,1,3,24,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,1.60000000003492,0,0,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,2.20000000004075,NA,NA,NA
debug,1,1,1,4,48,DOPP_SEM_DIFF,DblObj,1,occ-name,obj_switch,2.60000000003492,1,0.000218074244912714,0
debug,1,1,1,5,44,DOPP_SEM_DIFF,DblObj,1,occ-name,obj_switch,3.20000000004075,1,0.000201876711798832,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,3.80000000004657,NA,NA,NA
debug,1,1,1,6,68,DOPP_SEM_DIFF,PP,1,occ-name,obj_switch,4.00000000005821,2,0.0113153669517487,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,4.60000000006403,NA,NA,NA
debug,1,1,1,7,21,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,4.80000000007567,1,0.00020385198877193,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,5.40000000008149,NA,NA,NA
debug,1,1,1,8,12,ActPas_SEM_DIFF,active,1,occ-name,noun_switch,6.00000000008731,1,0.000198716210434213,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,6.60000000009313,NA,NA,NA
debug,1,1,1,9,7,ActPas_SYNT_SAME,active,0,name-occ,NA,7.20000000009895,1,0.000200296461116523,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,7.80000000010477,NA,NA,NA
debug,1,1,1,10,39,ActPas_SYNT_SAME,passive,0,name-occ,NA,8.40000000011059,1,0.000204247073270381,1
debug,1,1,1,11,74,DOPP_SYNT_DIFF,PP,0,occ-name,NA,9.00000000011642,1,0.045560924889287,0
debug,1,1,1,12,57,DOPP_SEM_SAME,DblObj,1,name-occ,obj_synon,9.60000000012224,1,0.000203456962481141,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,10.2000000001281,NA,NA,NA
debug,1,1,1,13,64,DOPP_SEM_DIFF,PP,1,occ-name,obj_switch,10.4000000001397,1,0.000202666851691902,0
debug,1,1,1,14,6,ActPas_SYNT_DIFF,active,1,occ-name,NA,11.0000000001455,2,0.0533084865892306,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,11.6000000001513,NA,NA,NA
debug,1,1,1,15,15,ActPas_SYNT_SAME,active,0,name-occ,NA,12.0000000001455,2,0.000203456962481141,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,12.6000000001513,NA,NA,NA
debug,1,1,1,16,46,DOPP_SYNT_DIFF,DblObj,1,occ-name,NA,13.0000000001455,1,0.000203061877982691,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,13.6000000001513,NA,NA,NA
debug,1,1,1,17,1,ActPas_SEM_SAME,active,1,name-occ,noun_synon,14.0000000001455,1,0.000203061877982691,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,14.6000000001513,NA,NA,NA
debug,1,1,1,18,19,ActPas_SYNT_SAME,active,0,name-occ,NA,15.0000000001455,1,0.000579951069084927,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,15.6000000001513,NA,NA,NA
debug,1,1,1,19,53,DOPP_SEM_SAME,DblObj,1,name-occ,occup_synon,15.800000000163,2,0.0778090491367038,0
debug,1,1,1,20,77,DOPP_SEM_SAME,PP,1,name-occ,obj_synon,16.4000000001688,1,0.0341550887096673,1
debug,1,1,1,21,11,ActPas_SYNT_SAME,active,0,name-occ,NA,17.0000000001746,1,0.000203852017875761,1
debug,1,1,1,22,25,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,17.6000000001804,1,0.0311459011572879,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,18.2000000001863,NA,NA,NA
debug,1,1,1,23,41,DOPP_SEM_SAME,DblObj,1,name-occ,occup_synon,18.8000000001921,1,0.100479289278155,1
debug,1,1,1,24,13,ActPas_SEM_SAME,active,1,name-occ,noun_synon,19.4000000001979,2,0.000201876711798832,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,20.0000000002037,NA,NA,NA
debug,1,1,1,25,69,DOPP_SEM_SAME,PP,1,name-occ,obj_synon,20.8000000001921,1,0.000203456962481141,1
debug,1,1,1,26,78,DOPP_SYNT_DIFF,PP,0,occ-name,NA,21.4000000001979,1,0.00676504237344489,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,22.0000000002037,NA,NA,NA
debug,1,1,1,27,67,DOPP_SYNT_SAME,PP,0,name-occ,NA,22.2000000002154,1,0.00020503721316345,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,22.8000000002212,NA,NA,NA
debug,1,1,1,28,50,DOPP_SYNT_DIFF,DblObj,1,occ-name,NA,23.0000000002328,1,0.000203061907086521,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,23.6000000002387,NA,NA,NA
debug,1,1,1,29,55,DOPP_SYNT_SAME,DblObj,0,name-occ,NA,24.0000000002328,1,0.000202666822588071,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,24.6000000002387,NA,NA,NA
debug,1,1,1,30,28,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,25.2000000002445,2,0.00901492070988752,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,25.8000000002503,NA,NA,NA
debug,1,1,1,31,71,DOPP_SYNT_SAME,PP,0,name-occ,NA,26.2000000002445,1,0.0917057514889166,1
debug,1,1,1,32,47,DOPP_SYNT_SAME,DblObj,0,name-occ,NA,26.8000000002503,1,0.000434173183748499,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,27.4000000002561,NA,NA,NA
debug,1,1,1,33,38,ActPas_SYNT_DIFF,passive,1,occ-name,NA,27.6000000002678,2,0.0850189313932788,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,28.2000000002736,NA,NA,NA
debug,1,1,1,34,33,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,28.6000000002678,1,0.000207012519240379,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,29.2000000002736,NA,NA,NA
debug,1,1,1,35,30,ActPas_SYNT_DIFF,passive,0,occ-name,NA,29.4000000002852,2,0.000204642128665,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,30.000000000291,NA,NA,NA
debug,1,1,1,36,34,ActPas_SYNT_DIFF,passive,1,occ-name,NA,30.6000000002969,1,0.000196345848962665,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,31.2000000003027,NA,NA,NA
debug,1,1,1,37,63,DOPP_SYNT_SAME,PP,0,name-occ,NA,32.000000000291,2,0.0478412229858804,0
debug,1,1,1,38,32,ActPas_SEM_DIFF,passive,1,occ-name,noun_switch,32.6000000002969,1,0.000201086571905762,0
debug,1,1,1,39,20,ActPas_SEM_DIFF,active,1,occ-name,noun_switch,33.2000000003027,2,0.000202666822588071,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,33.8000000003085,NA,NA,NA
debug,1,1,1,40,2,ActPas_SYNT_DIFF,active,1,occ-name,NA,34.4000000003143,2,0.000203061877982691,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,35.0000000003201,NA,NA,NA
